# COMMAND: Rscript --vanilla /metfark/config/splus/synop /lustre/storeA/project/nwp/fark/2018/04/19/meps_syno_002d.table /lustre/storeA/project/nwp/fark/
#
# TYPE:synop
#
# ATTRIBUTES:17
# _n:4
# title_string1:Mean Sea Level Pressure
# title_string2:Temperature 2m
# title_string3:Relative Humidity 2m
# title_string4:Wind Speed 10m
# axis_string1:MSLP (hPa)
# axis_string2:T2m (K)
# axis_string3:Rh2m (%)
# axis_string4:FF10m (m/s)
# file_string1:mslp
# file_string2:t2m
# file_string3:rh2m
# file_string4:ff10m
# Orientation:landscape
# Format:Jpeg
# Suffix:.jpg
# Version:1.0
#
# LEGENDS:1
# 1:MEPS 2.5km
#
# COLUMNS:15
# set:id
# cycle_epoch:round(time_ana,0.01)
# time_epoch:round(time_trg,0.01)
# obs_id:obs_sta
# lat_deg:round(lat,0.001)
# lon_deg:round(lon,0.001)
# altitude_meter:round(geopot/9.81,0.01)
# model_variable1:round(pres/100.0,0.01)
# model_variable2:round(t2m,0.01)
# model_variable3:round(rh*100,0.01)
# model_variable4:round(sqrt((wind_x*wind_x) + (wind_y*wind_y)),0.01)
# obs_variable1:round(obs_pres/100.0,0.01)
# obs_variable2:round(obs_t2m,0.01)
# obs_variable3:round(obs_rh,0.01)
# obs_variable4:round(obs_wspd,0.01)
#
# Data table
 set cycle_epoch time_epoch obs_id lat_deg lon_deg altitude_meter model_variable1 model_variable2 model_variable3 model_variable4 obs_variable1 obs_variable2 obs_variable3 obs_variable4
 1 1523923200 1523923200 1020 60.287 27.185 -.05 1013.42 275.66 99.2 3.32 1013 276.45 92 5.7
 1 1523923200 1523923200 1020 60.814 23.498 114.38 1014.4 279.06 99.82 2.89 1014.1 279.65 100 2
 1 1523923200 1523923200 1020 61.418 23.618 113.6 1013.76 278.8 99.94 1.33 1013.6 279.65 99 2.1
 1 1523923200 1523923200 1020 60.962 25.631 83.13 1013.48 278.84 99.47 .37 1013.4 277.65 100 0
 1 1523923200 1523923200 1020 61.044 28.151 85.21 1014.49 279.39 99.03 1.85 1014.3 280.75 92 1.5
 1 1523923200 1523923200 1020 61.689 27.202 117.9 1014.59 277.65 98.75 1.19 1014.6 276.75 92 1.3
 1 1523923200 1523923200 1020 63.435 21.069 .08 1014.21 275.94 99.84 2.18 1014.3 274.35 99 2.8
 1 1523923200 1523923200 1020 63.12 23.044 44.24 1014.06 276.29 99.75 1.16 1013.7 277.25 99 0
 1 1523923200 1523923200 1020 63.008 27.799 86.42 1015.23 274.71 97.69 1.03 1015.4 275.15 91 0
 1 1523923200 1523923200 1020 63.751 22.523 .07 1014.32 275.43 93.73 2.34 1014.3 277.75 92 NA
 1 1523923200 1523923200 1020 64.331 23.446 -.03 1014.98 275.71 92.9 .47 1014.8 273.95 91 2.3
 1 1523923200 1523923200 1020 64.283 27.671 135.36 1015.74 274.71 99.68 1.07 1015.7 273.85 93 0
 1 1523923200 1523923200 1020 65.385 24.096 -.56 1015.15 270.33 100 1.85 1014.9 274.75 69 1.6
 1 1523923200 1523923200 1020 65.04 24.561 1.39 1015.25 272.06 97.7 1.05 1015.5 272.95 95 2.7
 1 1523923200 1523923200 1020 65.673 24.515 .39 1015.34 271.99 99.36 .88 1015.2 270.45 85 2.6
 1 1523923200 1523923200 1020 68.613 27.419 155.74 1018.48 271.91 90.86 1.44 1018.5 272.65 87 0
 1 1523923200 1523923200 1020 63.142 31.044 197.59 1016.1 274.08 97.57 .65 1015.8 277.35 47 1.6
 1 1523923200 1523923200 1020 64.112 28.336 155.57 1016.05 273.92 99.98 .29 1016.1 272.95 89 .6
 1 1523923200 1523923200 1020 64.298 30.171 197.73 1015.92 274 99.88 .99 1015.7 275.45 66 1.4
 1 1523923200 1523923200 1020 64.612 23.897 -.03 1015.17 273.85 84.46 .74 1015 274.55 89 2.4
 1 1523923200 1523923200 1020 64.684 25.089 50.28 1015.3 272.8 99.04 .74 1015.2 273.75 88 0
 1 1523923200 1523923200 1020 65.006 25.393 1.21 1015.29 274.65 89.56 .39 1015.3 273.25 91 .7
 1 1523923200 1523923200 1020 64.501 26.424 116.92 1015.37 272.33 99.31 1.1 1015.7 274.15 93 .6
 1 1523923200 1523923200 1020 65.575 28.218 204.74 1015.48 274.43 99.87 .74 NA 272.85 82 0
 1 1523923200 1523923200 1020 66.166 29.152 336.48 1014.81 275 97.59 .76 NA 280.45 40 1.7
 1 1523923200 1523923200 1020 66.498 25.709 100.85 1015.81 272.36 98.57 .73 1015.4 272.55 85 0
 1 1523923200 1523923200 1020 66.579 26.011 117.63 1015.92 273.42 99.04 1.44 1015.6 271.35 88 0
 1 1523923200 1523923200 1020 67.286 28.177 187.64 1016.71 273.94 98.64 2.03 NA 275.25 68 .8
