# COMMAND: Rscript --vanilla /metfark/config/splus/temp /lustre/storeA/project/nwp/fark/2018/04/19/meps_temp_002d.table /lustre/storeA/project/nwp/fark/2018/04/19/meps_temp_002d/
#
# TYPE:temp
#
# ATTRIBUTES:14
# _n:3
# title_string1:Temperature
# title_string2:Relative Humidity
# title_string3:Wind Speed
# axis_string1:T (K)
# axis_string2:Rh (%)
# axis_string3:FF (m/s)
# file_string1:t
# file_string2:rh
# file_string3:ff
# Orientation:landscape
# Format:Jpeg
# Suffix:.jpg
# Version:1.0
#
# LEGENDS:1
# 1:MEPS 2.5km
#
# COLUMNS:14
# set:id
# cycle_epoch:round(time_ana,0.01)
# time_epoch:round(time_trg,0.01)
# obs_id:obs_wmo*1000 + obs_id
# lat_deg:round(lat,0.001)
# lon_deg:round(lon,0.001)
# pressure_hpa:round(pres,0.01)
# altitude_meter:round(geopot/9.81,0.1)
# model_variable1:round(temp,0.01)
# model_variable2:round(rh*100,0.01)
# model_variable3:round(sqrt((wind_x*wind_x) + (wind_y*wind_y)),0.01)
# obs_variable1:round(obs_temp,0.01)
# obs_variable2:round(obs_rh,0.01)
# obs_variable3:round(obs_wspd,0.01)
#
# Data table
 set cycle_epoch time_epoch obs_id lat_deg lon_deg pressure_hpa altitude_meter model_variable1 model_variable2 model_variable3 obs_variable1 obs_variable2 obs_variable3
 1 1523923200 1523923200 12120 54.75 17.53 998 1 277.85 96.94 6.47 278.6 278.5 NA
 1 1523923200 1523923200 12120 54.75 17.53 991 1 278.22 95.54 6.9 281.6 281.1 NA
 1 1523923200 1523923200 12120 54.75 17.53 975 1 279.07 92.35 7.99 NA NA 9
 1 1523923200 1523923200 12120 54.75 17.53 955 1 280.13 88.37 9.46 283.4 279.8 NA
 1 1523923200 1523923200 12120 54.75 17.53 928 1 281.55 82.98 11.58 NA NA 12
 1 1523923200 1523923200 12120 54.75 17.53 925 1 281.71 82.39 11.82 281.8 278.4 12
 1 1523923200 1523923200 12120 54.75 17.53 900 1 280.27 85.08 10.99 NA NA 12
 1 1523923200 1523923200 12120 54.75 17.53 850 1 277.39 90.47 9.4 277 275.2 10
 1 1523923200 1523923200 12120 54.75 17.53 847 1 277.19 90.92 9.18 NA NA 10
 1 1523923200 1523923200 12120 54.75 17.53 832 1 276.15 93.19 8.1 275.6 274.3 NA
 1 1523923200 1523923200 12120 54.75 17.53 827 1 275.81 93.94 7.74 NA NA 7
 1 1523923200 1523923200 12120 54.75 17.53 802 1 274.09 97.72 5.94 NA NA 5
 1 1523923200 1523923200 12120 54.75 17.53 800 1 273.95 98.02 5.8 NA NA 5
 1 1523923200 1523923200 12120 54.75 17.53 749 1 271.85 99.03 3.45 NA NA 5
 1 1523923200 1523923200 12120 54.75 17.53 704 1 270 99.92 1.47 270.3 270.3 NA
 1 1523923200 1523923200 12120 54.75 17.53 700 1 269.83 99.99 1.31 270.3 270.3 2
 1 1523923200 1523923200 12120 54.75 17.53 678 1 268.2 98.55 1.66 NA NA NA
 1 1523923200 1523923200 12120 54.75 17.53 650 1 266.13 96.72 3.83 NA NA 5
 1 1523923200 1523923200 12120 54.75 17.53 601 1 262.51 93.5 8 NA NA 12
 1 1523923200 1523923200 12120 54.75 17.53 600 1 262.44 93.44 8.09 NA NA 12
 1 1523923200 1523923200 12120 54.75 17.53 597 1 262.22 93.24 8.35 263.3 263.1 NA
 1 1523923200 1523923200 12120 54.75 17.53 591 1 261.77 92.85 8.86 262.9 262.1 NA
 1 1523923200 1523923200 12120 54.75 17.53 566 1 259.92 91.21 11.02 NA NA 14
 1 1523923200 1523923200 12120 54.75 17.53 548 1 258.59 90.03 12.58 261.1 252.1 NA
 1 1523923200 1523923200 12120 54.75 17.53 514 1 256.08 87.8 15.52 NA NA 21
 1 1523923200 1523923200 12120 54.75 17.53 501 1 255.12 86.95 16.65 254.7 250.5 NA
 1 1523923200 1523923200 12120 54.75 17.53 500 1 255.04 86.88 16.74 254.9 251.1 20
 1 1523923200 1523923200 12120 54.75 17.53 470 1 251.45 90.82 15.14 NA NA 14
 1 1523923200 1523923200 12120 54.75 17.53 451 1 249.17 93.31 14.31 249.5 247.9 NA
 1 1523923200 1523923200 12120 54.75 17.53 443 1 248.21 94.36 14.01 NA NA 12
 1 1523923200 1523923200 12120 54.75 17.53 424 1 245.93 96.85 13.42 NA NA 14
 1 1523923200 1523923200 12120 54.75 17.53 408 1 244.01 98.95 13.08 NA NA 13
 1 1523923200 1523923200 12120 54.75 17.53 400 1 243.05 100 12.97 243.3 241.4 14
 1 1523923200 1523923200 12120 54.75 17.53 368 1 237.64 100 17.47 238.9 235.4 NA
 1 1523923200 1523923200 12120 54.75 17.53 300 1 226.14 100 27.19 226.1 222.2 28
 1 1523923200 1523923200 12120 54.75 17.53 277 1 221.34 97.67 28.87 221.3 216.5 NA
 1 1523923200 1523923200 12120 54.75 17.53 250 1 215.71 94.94 31.32 215.5 211.9 35
 1 1523923200 1523923200 12120 54.75 17.53 243 1 216.14 83.49 28.87 NA NA 36
 1 1523923200 1523923200 12120 54.75 17.53 238 1 216.44 75.31 27.11 213.1 209.7 34
 1 1523923200 1523923200 12120 54.75 17.53 236 1 216.56 72.04 26.41 213.1 210 NA
 1 1523923200 1523923200 12120 54.75 17.53 233 1 216.75 67.13 25.37 213.1 209.5 28
 1 1523923200 1523923200 12120 54.75 17.53 229 1 216.99 60.59 23.97 214.3 201.3 NA
 1 1523923200 1523923200 12120 54.75 17.53 228 1 217.06 58.95 23.63 NA NA 20
 1 1523923200 1523923200 12120 54.75 17.53 227 1 217.12 57.32 23.28 218.7 198.7 NA
 1 1523923200 1523923200 12120 54.75 17.53 221 1 217.49 47.5 21.2 220.3 200.3 NA
 1 1523923200 1523923200 12120 54.75 17.53 200 1 218.78 13.15 14.07 217.7 194.7 15
 1 1523923200 1523923200 12120 54.75 17.53 198 1 218.79 12.74 13.72 NA NA 15
 1 1523923200 1523923200 12120 54.75 17.53 196 1 218.81 12.32 13.38 216.7 193.7 NA
 1 1523923200 1523923200 12120 54.75 17.53 165 1 219.1 5.96 8.56 NA NA 10
 1 1523923200 1523923200 12120 54.75 17.53 153 1 219.21 3.49 7.24 NA NA 8
 1 1523923200 1523923200 12120 54.75 17.53 150 1 219.24 2.88 7 219.7 189.7 7
 1 1523923200 1523923200 12120 54.75 17.53 145 1 218.74 2.93 6.74 NA NA 4
 1 1523923200 1523923200 12120 54.75 17.53 139 1 218.13 3 6.46 220.1 189.1 NA
 1 1523923200 1523923200 12120 54.75 17.53 136 1 217.83 3.03 6.33 NA NA 5
 1 1523923200 1523923200 12120 54.75 17.53 126 1 216.82 3.14 5.98 NA NA 7
 1 1523923200 1523923200 12120 54.75 17.53 113 1 215.52 3.28 5.71 NA NA 7
 1 1523923200 1523923200 12120 54.75 17.53 109 1 215.11 3.32 5.68 NA NA 5
 1 1523923200 1523923200 12120 54.75 17.53 103 1 214.51 3.39 5.68 NA NA 7
 1 1523923200 1523923200 12120 54.75 17.53 100 1 214.21 3.42 5.69 213.9 186.9 9
 1 1523923200 1523923200 12120 54.75 17.53 70 1 212.22 3.14 5.66 213.1 186.1 8
 1 1523923200 1523923200 12120 54.75 17.53 50 1 210.89 2.94 6.5 211.5 184.5 8
 1 1523923200 1523923200 26702 54.73 20.57 1000 17.4 282.93 97.82 3.2 284.8 283.4 3
 1 1523923200 1523923200 26702 54.73 20.57 996 17.4 283 97.64 2.95 NA NA 3
 1 1523923200 1523923200 26702 54.73 20.57 949 17.4 283.74 95.49 .82 285.4 284.6 NA
 1 1523923200 1523923200 26702 54.73 20.57 927 17.4 284.08 94.48 1.89 283.2 281.9 NA
 1 1523923200 1523923200 26702 54.73 20.57 925 17.4 284.12 94.39 2.01 283.6 282.4 6
 1 1523923200 1523923200 26702 54.73 20.57 922 17.4 283.98 94.22 2.07 284.6 283.7 NA
 1 1523923200 1523923200 26702 54.73 20.57 863 17.4 281.32 90.92 3.26 NA NA 8
 1 1523923200 1523923200 26702 54.73 20.57 850 17.4 280.73 90.19 3.52 281.4 279.9 7
 1 1523923200 1523923200 26702 54.73 20.57 842 17.4 280.27 90.41 3.67 NA NA 7
 1 1523923200 1523923200 26702 54.73 20.57 779 17.4 276.71 92.86 6.41 278.4 277.2 NA
 1 1523923200 1523923200 26702 54.73 20.57 748 17.4 275.02 94.81 9.25 NA NA 12
 1 1523923200 1523923200 26702 54.73 20.57 716 17.4 273.28 96.83 12.19 NA NA 10
 1 1523923200 1523923200 26702 54.73 20.57 708 17.4 272.85 97.34 12.93 272.5 271.4 NA
 1 1523923200 1523923200 26702 54.73 20.57 700 17.4 272.41 97.84 13.67 272.3 271.1 9
 1 1523923200 1523923200 26702 54.73 20.57 661 17.4 269.19 98.26 13.33 271.5 269.7 NA
 1 1523923200 1523923200 26702 54.73 20.57 648 17.4 268.11 98.4 13.21 NA NA 7
 1 1523923200 1523923200 26702 54.73 20.57 633 17.4 266.87 98.56 13.08 267.5 264.7 NA
 1 1523923200 1523923200 26702 54.73 20.57 604 17.4 264.47 98.87 12.84 NA NA 11
 1 1523923200 1523923200 26702 54.73 20.57 522 17.4 257.69 99.75 12.15 259.5 257.9 NA
 1 1523923200 1523923200 26702 54.73 20.57 500 17.4 255.88 99.99 11.97 255.9 254.2 14
 1 1523923200 1523923200 26702 54.73 20.57 481 17.4 253.59 99.99 13.28 253.3 251.4 NA
 1 1523923200 1523923200 26702 54.73 20.57 430 17.4 247.44 100 16.98 NA NA 15
 1 1523923200 1523923200 26702 54.73 20.57 400 17.4 243.82 100 19.24 246.1 244.6 17
 1 1523923200 1523923200 26702 54.73 20.57 397 17.4 243.3 99.94 19.39 245.5 244.2 NA
 1 1523923200 1523923200 26702 54.73 20.57 362 17.4 237.2 99.25 21.34 239.5 237 NA
 1 1523923200 1523923200 26702 54.73 20.57 350 17.4 235.11 99.01 22.06 235.5 232.2 23
 1 1523923200 1523923200 26702 54.73 20.57 310 17.4 228.15 98.22 24.63 230.7 227.1 NA
 1 1523923200 1523923200 26702 54.73 20.57 303 17.4 226.93 98.08 25.1 NA NA 28
 1 1523923200 1523923200 26702 54.73 20.57 300 17.4 226.4 98.02 25.3 226.3 222.6 28
 1 1523923200 1523923200 26702 54.73 20.57 269 17.4 221.01 85.62 27.66 NA NA 26
 1 1523923200 1523923200 26702 54.73 20.57 250 17.4 217.7 78.01 29.11 216.9 213.3 21
 1 1523923200 1523923200 26702 54.73 20.57 249 17.4 217.6 77.24 29.03 216.9 213.2 NA
 1 1523923200 1523923200 26702 54.73 20.57 242 17.4 216.94 71.83 28.5 214.3 209.9 NA
 1 1523923200 1523923200 26702 54.73 20.57 200 17.4 212.94 39.38 25.64 212.3 207.9 5
 1 1523923200 1523923200 26702 54.73 20.57 197 17.4 213.2 37.26 24.39 NA NA 4
 1 1523923200 1523923200 26702 54.73 20.57 192 17.4 213.64 33.71 22.33 212.3 207.4 NA
 1 1523923200 1523923200 22113 68.98 33.12 1000 65.5 274.35 93.88 .79 273.4 271.6 1
 1 1523923200 1523923200 22113 68.98 33.12 969 65.5 273.65 95.15 .59 275.4 272 NA
 1 1523923200 1523923200 22113 68.98 33.12 959 65.5 273.42 95.56 .53 NA NA 2
 1 1523923200 1523923200 22113 68.98 33.12 936 65.5 272.9 96.5 .4 NA NA 4
 1 1523923200 1523923200 22113 68.98 33.12 935 65.5 272.88 96.54 .39 274.6 269.6 NA
 1 1523923200 1523923200 22113 68.98 33.12 925 65.5 272.65 96.95 .34 273.8 268.8 3
 1 1523923200 1523923200 22113 68.98 33.12 910 65.5 271.78 96.83 .32 272.9 267.9 NA
 1 1523923200 1523923200 22113 68.98 33.12 862 65.5 269.01 96.45 1.38 NA NA 2
 1 1523923200 1523923200 22113 68.98 33.12 850 65.5 268.31 96.35 1.68 269.1 266.1 2
 1 1523923200 1523923200 22113 68.98 33.12 797 65.5 266.48 82.93 3.13 NA NA 3
