# COMMAND: Rscript --vanilla /metfark/config/splus/synop /lustre/storeA/project/nwp/fark/2018/04/26/syno_002d.table /lustre/storeA/project/nwp/fark/2018/04/26/syno_002d/
#
# TYPE:synop
#
# ATTRIBUTES:25
# _n:4
# title_string1:Mean Sea Level Pressure
# title_string2:Temperature 2m
# title_string3:Relative Humidity 2m
# title_string4:Wind Speed 10m
# min1:-999999
# max1:+999999
# min2:-999999
# max2:+999999
# min3:-999999
# max3:+999999
# min4:-999999
# max4:+999999
# axis_string1:MSLP (hPa)
# axis_string2:T2m (K)
# axis_string3:Rh2m (%)
# axis_string4:FF10m (m/s)
# file_string1:mslp
# file_string2:t2m
# file_string3:rh2m
# file_string4:ff10m
# Orientation:landscape
# Format:Jpeg
# Suffix:.jpg
# Version:1.0
#
# LEGENDS:2
# 1:ECMWF
# 2:MEPS 2.5km
#
# COLUMNS:15
# set:id
# cycle_epoch:round(time_ana,0.01)
# time_epoch:round(time_trg,0.01)
# obs_id:obs_sta
# lat_deg:round(lat,0.001)
# lon_deg:round(lon,0.001)
# altitude_meter:round(geopot/9.81,0.1)
# model_variable1:round(pres/100.0,0.01)
# model_variable2:round(t2m,0.01)
# model_variable3:round(rh*100,0.01)
# model_variable4:round(sqrt((wind_x*wind_x) + (wind_y*wind_y)),0.01)
# obs_variable1:round(obs_pres/100.0,0.01)
# obs_variable2:round(obs_t2m,0.01)
# obs_variable3:round(obs_rh,0.01)
# obs_variable4:round(obs_wspd,0.01)
#
# Data table
 set cycle_epoch time_epoch obs_id lat_deg lon_deg altitude_meter model_variable1 model_variable2 model_variable3 model_variable4 obs_variable1 obs_variable2 obs_variable3 obs_variable4
 1 1524528000 1524528000 1020 60.287 27.185 4 1007.81 276.86 27252.7 8.32 1007.5 277.15 271.35 9.6
 1 1524528000 1524528000 1020 60.814 23.498 104 1003.23 276.09 27403.12 5.65 1003.5 276.15 273.15 4.5
 1 1524528000 1524528000 1020 61.418 23.618 112 1003.55 275.49 27205.19 4.91 1003.5 275.85 271.15 5.1
 1 1524528000 1524528000 1020 60.962 25.631 78 1006.39 275.54 26950.88 4.38 1006.5 275.65 270.45 2
 1 1524528000 1524528000 1020 61.044 28.151 105 1009.38 273.12 26649.74 3.94 1009.4 274.15 266.35 2.6
 1 1524528000 1524528000 1020 61.689 27.202 99 1008.55 272.39 26560.6 3.72 1008.6 274.65 267.75 2.5
 1 1524528000 1524528000 1020 63.435 21.069 4 1000.05 276.57 27279.03 6.97 1000.1 276.95 272.75 5.4
 1 1524528000 1524528000 1020 63.12 23.044 42 1002.45 276.92 27033.83 4.56 1002 278.05 271.35 5.5
 1 1524528000 1524528000 1020 63.008 27.799 96 1008.6 272.39 27011.17 3.8 1008.8 273.75 268.55 1.5
 1 1524528000 1524528000 1020 63.751 22.523 2 1001.74 276.13 27222.59 5.77 1001.5 278.45 271.75 NA
 1 1524528000 1524528000 1020 64.331 23.446 3 1002.63 275.61 27212.2 6.6 1002.6 275.95 272.35 6.8
 1 1524528000 1524528000 1020 64.283 27.671 132 1007.44 273.74 27027.75 5 1007.5 276.55 268.85 3.6
 1 1524528000 1524528000 1020 65.385 24.096 25 1003.31 274.68 27267.93 5.67 1003.1 275.85 272.45 6.4
 1 1524528000 1524528000 1020 65.04 24.561 7 1003.56 275.47 27223.55 6.03 1003.7 277.65 270.55 7
 1 1524528000 1524528000 1020 65.673 24.515 2 1003.65 274.83 27253.56 5.08 1003.7 275.45 272.15 3.6
 1 1524528000 1524528000 1020 68.613 27.419 140 1001.59 275.67 27349.55 5.37 1002 276.05 274.15 4.6
 1 1524528000 1524528000 1020 63.142 31.044 233 1011.26 270.61 26936.02 2.81 1011 272.35 268.75 2.2
 1 1524528000 1524528000 1020 64.112 28.336 161 1008.4 272.6 27017.12 3.63 1008.9 273.65 268.55 3.4
 1 1524528000 1524528000 1020 64.298 30.171 196 1009.67 272 27008.77 3.52 1009.9 272.25 268.25 1.8
 1 1524528000 1524528000 1020 64.612 23.897 0 1002.99 275.32 27238.22 7.08 1002.6 277.35 270.95 10
 1 1524528000 1524528000 1020 64.684 25.089 48 1004.36 275.07 27191.98 4.07 1004.2 276.55 270.55 3.1
 1 1524528000 1524528000 1020 64.501 26.424 114 1006.06 274.24 27106.22 4.21 1006.2 274.95 270.55 4.2
 1 1524528000 1524528000 1020 65.575 28.218 197 1006.98 273.53 27123.5 3.58 NA 272.85 270.45 2.4
 1 1524528000 1524528000 1020 66.166 29.152 500 1007.03 272.53 27148.28 3.83 NA 274.25 270.25 10.3
 1 1524528000 1524528000 1020 66.498 25.709 85 1004.04 275.08 27255.47 3.04 1004 275.95 272.05 .9
 1 1524528000 1524528000 1020 66.579 26.011 106 1004.17 274.97 27239.28 3.27 1004.2 274.45 272.15 0
 1 1524528000 1524528000 1020 67.286 28.177 180 1005.02 273.74 27209.65 3.76 NA 273.65 271.25 1.3
 1 1524528000 1524528000 1020 67.022 27.218 491 1004.46 275.02 27222.52 3.84 1004.1 273.75 271.05 NA
 1 1524528000 1524528000 1020 67.162 29.178 213 1006 272.38 27156.78 3.53 1006.2 272.65 270.35 1
 1 1524528000 1524528000 1020 68.063 24.033 760 1000.47 274.17 27355.7 5.17 1000.6 271.75 271.65 14.9
 1 1524528000 1524528000 1020 67.973 24.116 555 1000.67 274.27 27359.59 5.32 1000.3 272.75 272.75 11.4
 1 1524528000 1524528000 1020 68 24.24 340 1000.71 274.47 27364.99 5.2 1001.1 273.95 273.75 4.5
